name,typeOfService,phone,phoneExt,email,contactName,contactPhone,contactEmail,secondContactName,secondContactPhone,secondContactPhoneExt,secondContactEmail,address1,city,state,zip,notes
Hands of The Wild ,Outdoor Programs,,,,Dom Cosenza,,,,,,,,,,,
Hawaii House,IOP Sober Living,(208) 260-4966,,www.moonlightmountainrecovery.com,Lisa Moreland,(208) 505-9990,lmoreland@moonlightmountain.com,Krystal,,517,kedwards@moonlightmountain.com,,,,,Email is best
Hope Guides,Sober Living,(304) 839-5448,,Jacob.e@hopeguides.com,Jake Evans,(602) 794-5154,,Bryan Kaminskas,,,,,,,,Adam 208-960-4917
Hope's Door,DV Housing,(208) 459-4779,,,24/7 Hotline,,,,,,,1508 Hope Lane Suite 102,Caldwell,ID,83605,hopesdoorny.org
Human Supports of Idaho (HSI),Peer Support /ACT  TEAM,(208) 284-7749,,lbaker@humansupports.com,Larry Johnson,,lbaker@humansupports.com,,,,,314 Badiola St,Caldwell,ID,83605,Fax: 208-454-8404
Hummingbird House,Sober Living,(208) 954-2650,,ashley@thehummingbirdhouse.com,Ashely,,ashley@thehummingbirdhouse.com,Sonja Jordan,,,,,,,,
Idaho Dept. of Health and Welfare,Resource and Service  Navigator,(208) 334-0890,,deboraa.kasten@dhw.idaho.gov,Debora Kasten,,,,,,,1720 Westagte Dr. Ste. D,Boise,ID,83704,
Idaho Partners For Good,Coalition,(208) 870-4040,,blossomj@idahopartners$good.org,Blossom Johnson,,,,,,,,,,,
Idaho State Veteran Home,Vet's Housing,(208) 780-1600,,anna.johnson-whitehead@wa.gov,,,,,,,,,,,,
Idaho Youth Ranch Adminstration Offices,Social Enterprise,(208) 466-2776,,www.youthranch.org,Leah Toland,,Itoland@youthranch.org,,,,,5465 W Irving Street,Boise,ID,83706,
IDHW Center For excellence Region 3&4,Prog. Spec for parenting love and limits,,,Mathew.Sather@dhw.idaho.gov,Mathew Sather,,,,,,,,,,,
"Igniteidaho.org -McCall, Idaho","Traci Jamieson, LPC",,,traci@igniteidahofrc.org,,,traci@igniteidahofrc.org,,,,,,,,,
Intermountain Hospital-Inpatient,Mental Health Services/ Detox,(208) 377-8400,,joy.husman@uhsinc.com,Joy Husman,,joy.husman@uhsinc.com,,,,,,,,,
JACOB EVANS,Hope Guides,(304) 839-5448,,jacobe@hopeguides.com,,,,,,,,,,,,
JEAN FITZGERALD,St. Lukes Hospital,,,fitzgerieslhs.org,,,,,,,,,,,,
Latah Recovery Center,Recovery Center,(208) 883-1045,,latahrecoverycenter@gmail.com,Darrell Keim,,,,,,,531 S Main St #B,Moscow,ID,83843,
Latah Recovery Center,Recovey Center,(208) 883-1045,,latahrecoverycenter@gmail.com,Darrell Keim,,,,,,,,,,,
Lions Club Nampa,Local Service,(208) 615-4662,,nampalions@gmail.com,Robert Arnold,,,,,,,2007 N Cassia St,Nampa,ID,,
Love Inc,Low-income Services,(208) 466-7810,5,www.loveinc.com,Angela Avila,,,,,,,16470 N Franklin Blvd,Nampa,ID,83687,M-F 9:30am - 1pm
Magellan Health Regions 1-7,Idaho behavorial Helath Plan ,(208) 620-2835,,https://magellanofidaho.com/,Rebecca Hyson,,hyson@magellanhealth.com,,,,,,,,,
Man Up Crusdae,Domestic Violence,(208) 468-8880,,info@manupcrusade.com,,,info@manupcrusade.com,,,,,,,,,K Donahue Foundation
MARGIE POTTER,Region 3 Housing Coalition,(208) 284-2819,,margiepotter.home@gmail.com,,,margiepotter.home@gmail.com,,,,,,,,,
MC for the Rally ,Announcer,(208) 407-1138,,cweatherman@trhs.org,Claudia Weatherman,,,,,,,,,,,
SOUTHWEST DISTRICT ,SWDH,(208) 204-8247,,melanie.chroninger@swdh.id.gov,Melanie Chroninger,,,,,,,,,,,
Michael Scherer,Career Development,(202) 340-1323,,desperaudi@gmail.com,,,,,,,,,,,,
Middleton  4-H Club / Mtown Kritters,Photo Op's ,(208) 284-9748,,mtownkritters@gmail.com,Kim Bogusslawski,,,,,,,,,,,
Mike Perry,Re-Entry Specialist ,(208) 331-2208,,mike.perry@svdpid.org,,,,,,,,,,,,
Moonlight Mountain Admissions,Treatment / IOP Housing,(208) 260-4966,,skolodzik@moonlightmountain.com,Stacy Kolodzik,(208) 901-4570,skolodzik@moonlightmountain.com,Michael Kint,,,,,,,,
Moonlight Mountain Hawaii House,Rehab / Sober Living/ IOP / ,(208) 505-9990,,lmoreland@moonlightmountain.com,208-505-9990 ext 517,,kedwards@moonlightmountain.com,,,,skolodzik@moonlightmountain.com,,Nampa,ID,83651,Stacey Kolodzik / Lisa Moreland / Krystal
Moonliught Mountain,TR/Sober Living-Purple Sage,(208) 810-1191,,kedwards@moonlightmountain.com,,,,,,,,,,,,
Mountain States Chemical Dependency,Treatment ,(208) 989-7612,,angie@mountainstatescd.com,Angie Lewis,,,,,,,,,,,
Mountain States Recovery,Classes,(208) 463-0202,,angie@mountainstaescd.com,,,,,,,,,,,,
Nampa Civic Center,Apply for Scholarships,(208) 468-5500,,Nampa Civic Center,Dr Christopher Partridge,,,,,,,,,,,
Nampa Family Justice Center,Human Trafficking,(208) 475-5700,,mancinello@cityofnampa.us,Olivia Mancinelli,,mancinello@cityofnampa.us,,,,,1305 Third Street So.,Nampa,ID,83651-3903,Human Trafficking Program
Nampa Family Justice Center,Domestic Violence Center,(208) 468-4413,,strohmeyerj@cityofnampa.us,Jeannie Strohmeyer,,,Yamilene Isaza,,,,"1305 3rd St S, ",Nampa,ID,83651,
Nampa Fire Department,Nampa Fire Department,(208) 550-2633,,wright@nampafire.org,Tom Wright,,,,,,,,,,,
Nampa Narcan,Leave Behind Narcan Nasal Spry,(208) 960-6092,,www.nampanarcan.com,Nampa Narccan,,,,,,,,,,,
Nature Connected Mentoring,Mentorship Program- Dom Cosenza,,,wildknowing@gmail.com,Dom Cosenza,,,,,,,,,,,
NORMA JAEGER,Recovery Idaho,(208) 830-7671,,norma@recoveryidaho.org,,,,,,,,,,,,
Northpoint Recovery,Treatment / Recovery Center,(208) 985-6045,,jhunter@northpointrecovery.com,Justin,,jhunter@northorthpointrecovery.com,,,,,"2335 E State Ave, ",Meridian,ID,83642,Event Training at SIRCC 6/10/2025
One Love Agency,Reentry Agency,(208) 991-4296,,reentry@oneloveagency.org,Brayan Johnson,,,,,,,,,,,
One Love Re-entry,Prison-Re-entry,(208) 991-4296,,contact@oneloveagency.org,Buck Fry,,,,,,,,,,,
Oxford House,Sober Living,(208) 816-0251,,roman.riojas@oxfordhouse.org,Roman Riojas,(208) 501-3138,,Mike Reininger,,,,,,,,
Oxford House,Sober Living,(800) 689-6411,,www.oxfordhouse.org,Roman Rojas,,,,,,,,,,,
Raise The Bottom,Opiaite Treatment /Medicated Ass ,(208) 433-0400,,vanessavejar@raisethebottomidaho.com,Vanessa Vejar ext 1118,,,,,,,,,,,
Raise The Bottom,Daily opiate Addiction Treatment,(209) 433-0400,1118,www.raisethebottom.com,Vanessa Veejar,,,,,,,1603 12th Ave Rd. Unit B,Nampa,ID,,
Recovery Coach,Recovery Coach ,(214) 668-6895,,tracyts3@y.com,Tracy Tibbs,,,,,,,,,,,
Region 3 Access Point/Catch,Housing ,(208) 495-5688,,accesspoint@catchprogram.org,Amanda Nelson,,amandan@catchprogram.org,,,,,1007 S Elder St Suite A,Nampa,ID,83686,www.catchidaho.org
Renaissance Ranch,Residential Treatment,(208) 742-4229,,forrest@renaissanceranch.com,Forrest,,forrest@renaissanceranch.com,Forrest Jones,,,,,,,,
Rising Sun,Sober Living,(208) 898-4668,,admin@risingsunsoberliving.com,James -Caldwell,,,,,,,1605 N. Cleveland,,,,6pm
Salvation Army,Food Pantry /Clothes Storage,(208) 467-6586,,amy.lewis@usw.salvationarmy.org,Sharon Deeds ,(925) 826-7073,,Amy Lewis,,,,,,,,
Southworth Associates,Drug / Alchol Monitoring ,(208) 453-6902,,sierra@southworthassociates.net,Sierra Crow,,,,,,,,,,,
St Vincent Re-Entry Services,Re-Entry Specialist,(208) 606-6326,,james.hendrickson@gmail.com,James Hendrickson,,,,,,,,,,,"Housing, Employment, Medical Needs, Help with Forms"
St Vincent Re-Entry Services,Re-Entry Specialist,(208) 576-1924,,kittenz63@yahoo.com,Kat Reiman,,,,,,,,,,,
St Vincent Re-Entry Services,Prison-Re-Entry Specialist,(208) 370-3020,,livenlife@gmail.com,Gale Saastamoinen,,,,,,,,,,,
St Vincent Re-Entry Services,Prison-Re-Entry Specialist,(208) 370-3020,,nanabarker53@gmail.com,Heidi Barker,,,,,,,,,,,
St Vincent Re-Entry Services,Re-Entry Specialist,(208) 671-4881,,trolliesrule24@gmail.com,Jamie Thompson,,,,,,,,,,,
SVDP Dawna Loa,Re-Entry Specialist,(208) 331-2208,,dawna.loa@svdpid.org,,,,,,,,,,,,
SWDH Diversion Program,Diversion Program,(208) 455-6024,,veronica.garcia@swdh.id.gov,Veronica Garcia,(208) 366-9840,veronica.garcia@swdh.id.gov,Sheena Jacobsen,,,,13307 Miami Lane,Caldwell,ID,83605,Vito Kelson 208-299-8419
Terry Reilly,Health Services,(208) 466-7869,,clarsen@trhs.org,RC Supervisor -Craig Larsen,,,Admin,208-467-4431,,,,,,,Wanst to be on Rally Committee 
The Ceneter for Hope,Recovery Center,(208) 541-5482,,kyleb@badgercrisis.com,"Kyle Brown, CPRC/CPPSS",,kyleb@badgercrisis.com,,,,,530 E Anderson St,Idaho Falls ,ID,83401,
Trivium,Life Services,(208) 376-7083,1102,amber@triviumlifeservices.org,"Amber LaRocco, CADC",,amber@triviumlifeservices.org,,,,,12553 W Explorer Dr Ste 190,Boise,ID,83713,
Trivium,Counseling Services,(208) 376-7083,,linas@triviumlifeservices.org,Lina Smith,,,,,,,709 Dearborn St ,Caldwell,ID,83605,"709 Dearborn St, Caldwell, Id. 83605"
Valley Women and Childrens Shelter,Women / Children Shelter,(208) 475-0725,,info@boiserm.org,Stepahnie North,(208) 475-0725,info@boiserm.org,JoAnn-Volunterrs Svs's,,,,869 W Corporate Lane,Nampa,ID,83651,Food Boxes /Hygiene Kits / Womens Clothes/ Shelter Svcs
VASH PROGRAM /HUD ,Veterans Affairs Supportive Housing,(800) 225-5342,,answers@hud.gov,,,,,,,,,,,,
Western States Regional Council of Carpenters,Carpenters Union,(208) 333-0343,,rsheppard@wscarpenters.org,Ray Sheppard,,,,,,,,,,,
Willards What Not Shop ,Poured Resin Art,(530) 409-6026,,tswillard76@outlook.com,Tammy Willard,,Sherman Elementary,,,,,,,,,
Women's Reentry ,Women's Reentry,(541) 280-1541,,kelsey.wilcox@allamerican publishing.com,Kelsey Wilcox,,,,,,,,,,,
2C Kitchen Collectives,Soup Kitchen,(208) 970-3174,,,Grace,,,,,,,,,,,
ACT /HUMAN SUPPORTS ,,(208) 284-7749,,,,,,,,,,,,,,
ACT Team  / Human Supports Program,ACT Team,(208) 370-3213,,,Jessica,,,,,,,,,,,
Advocates Against Family Violence,Domestic Violence Shelter,(208) 459-6279,,,,,,,,,,,,,,
Allied Business Solutions,In Office-Copier,(208) 921-2434,,,Dale,,,,,,,,,,,
Area Agency on Aging,Vet's / Triage,(208) 898-7060,,,,,,,,,,,,,,
Aztec Dancers -Molina,Aztec Dancers,(775) 385-8088,,,Elvia,,,,,,,,,,,
Bike Show,Bike Show / Tents,(208) 957-0395,,,Chris Shroyer,,,,,,,,,,,
Bingham County Jail fax Number,,(208) 785-3033,,,,,,,,,,,,,,
Boise Rescue Mission,Rescue Mission,(208) 475-0725,,,Stephanie North,,,,,,,,,,,
Caldwell Felony Probation,IDOC,(208) 454-7601,,,,,,,,,,,,,,
Caldwell Recovery Center,Treatment-Housing,(208) 459-6557,,,,,,,,,,,,,,
Canyon Legal Forms,Low Cost Forms-UA's,(208) 412-9298,,,Regina,,,,,,,,,,,
Canyon Legal Forms,Legal Forms,(208) 412-9298,,,Regina,,,,,,,,,,,
Car Show,Car Show ,(760) 917-1782,,,Mike Regis,,,,,,,,,,,
CARF Certified Agnecies,,,,,,,,,,,,,,,,
Carrie Hoffer House,Sober Living,(208) 550-9135,,,Carrie,,,,,,,,,,,
Carrie Hoffer House,Sober Living,(208) 550-9135,,,Carrie,(208) 296-9132,,Travis Raby,,,,,Nampa,ID,83651,Carrie 208-900-8674 / Men /Women's Sober Living
Catch,CATCH,(208) 515-6415,,,Amanda Nelson,,,,,,,,,,,
Catch ,Housing Options,(208) 246-8830,,,Amanda Nelson ,,,,,,,,,,,
Chrysalis House,Women's Transitional Housing,(208) 424-1323,,,,,,,,,,,,,,
Classic Ink Tattoo,Mens Clothes Closet,(208) 919-1027,,,Ramon,,,,,,,2585 Caldwell Blvd Suite 102,Nampa,ID,,Call First
Clothing Shed,Clothing  ,(208) 466-0112,,,Gretchen,,,,,,,,,,,Lakeview Church of the Nazarene
Cornerstone -Epic Peer Network,Recovery Coaches,,,,,,,,,,,,,,,
justin hunter,Business Contact,(208) 466-5694,,,Terry,,,,,,,,,,,Will donate flowers - Call close to the event
Dept of Health and Welfare,DHW-Low Income Asst,(208) 334-6700,,,,,,,,,,,,,,
Deseret Industries,LDS Assistance / Clothing,(801) 240-3642,,,,,,,,,,,,,,https://www.churchofjesuschrist.org/locations?lang=eng 
Eagle of Nampa,Eagles,(208) 466-3151,,,,,,,,,,,,,,
El-Ada Community Action Partnership,Veteran's Housing,(208) 850-9230,,,,,,,,,,,,,,Case Mgmt: Process Screening
Faces of Hope,"Housing, Employment, Medical",(208) 986-4357,,,,,,,,,,,Boise,ID,,Case Management
Faces of Hope ,Case Management,(208) 986-4357,,,,,,,,,,,,,,
Full Moon Housing,Sober Living,(208) 440-6799,,,Kent,(208) 695-5728,,Ashley,,,,,,,,Men / Women's Sober Living
Geo Rentry Services,Reentry Services,(208) 519-1501,,,Jay Smack ,,,,,,,,,,,
Goodwill,Clothing Vouchers,(805) 368-1859,,,Jason,,,Roberta,,,,,,,,Briyan - Call for Emergency Clothing
Goodwill,Counseling,(208) 559-5356,,,Tammy Law,,,,,,,,,,,
Goodwill Clothing Vouchers,Clothing Vouchers,(805) 368-1859,,,Jason  / Roberta,,,,,,,,,,,
Grief Share-Calvary Chapel ,Grief Services ,(208) 989-1212,,,Debbie,,,,,,,,,,,
Healthy Impact Nampa Coalition,Positive Impact for Nampa,,,,Jean Mutchie,,fitzgeries@lhs.org,,,,,,,,,
High Desert Harley Davidson,Merchandise,(208) 338-5599,,,Joe Shaffer,(601) 482-4131,,Chunky River,,,,,,,,
High Desert Narcotics Anonymous,NA Meetings,(208) 442-2220,,,Boise,,,,,,,,,,,
Hopes Door New Beginnings Center,New Beginnings,(972) 276-0057,,,,,,,,,,,,,,
Hummingbird House,Sober Living,(208) 954-2650,,,Sonja Jordan,,,Sonja Jordan,,,,,,,,
Hummingbird House,Sober Living,(208) 906-0091,,,Ashley,,,Sonja,,,,,Nampa,ID,83686,Women's Sober Living-Nampa
Icaris,Residential treatment,(208) 986-0812,,,,,,,,,,,,,,
ICCU,Administrative Business Banking,(208) 442-0096,,,Zach Livesay-McCartt,(208) 353-3965,,Angela,,,,,,,,3rd Contact: Amber 208-921-7045
Idaho Health and Social Services-OMBUDSMAN,OMBUDSMAN,(208) 986-1914,,,Brandon Cabrera,,,,,,,,,,,
Idaho State Denatal Association,Dental ,(208) 343-7543,,,Colleen Gross,,,,,,,,,,,
Idaho State Governor,Government Officials,,,,,,,,,,,,,,,
IDOC Misdemeanor Probation,Dept. of Corrections,(208) 454-7260,,,,,,,,,,,,,,
Intermountain Hospital- Outpatient,Outpatient Services,(208) 377-8400,,,Tim Nelson- Outpatient,,,,,,,,,,,
Jeremy's Arcade,Nampa Arcade,(208) 794-2076,,,,,,,,,,,,,,
Jeremy's Arcade ,Family Night ,(208) 794-2076,,,Jeremy ,,,,,,,,,,,
Learning to Live,Hygiene Kits / Clothing,(208) 291-9189,,,,,,,,,,,,,,
Lifeways in Nampa,Counseling,(208) 546-3046,,,,,,,,,,824 S Diamond St,Nampa,ID,83686,www.lifeways.org
Lions Club Marsing,Local Service,,,,Jason Sevy,,,,,,,18 Sandbar Ave,Marsing,ID,,
Lotus House,Sober Living,(208) 912-9570,,,Rick,,,,,,,,,,,
Mana Resources,Adolescent Resources,(208) 546-3046,,,,,,,,,,923 Grant St,Caldwell,ID,83605,www.manaohana.org
Matthew 25 Ministry,Clothes Closet,(205) 466-0112,,,,,,,,,,607 14th Ave N.,Nampa,ID,,"T,W,Th 9am - Noon"
Moonlight Mountain,Director of Marketing,(208) 901-4570,,,Michael Kint ,,,,,,,,,,,
Moonlight Mountain Case Manager,Case Management,(503) 227-4274,,,,,,,,,,,,,,
Mountain States Chemical Dependency,Treatment ,(208) 918-3914,,,Angie Lewis,(208) 654-3988,,Sara,,,,,,,,
MTM Transport,,(877) 503-1261,,,,,,,,,,,,,,
Nampa Chamber of Commerce,City Service,(208) 466-4641,,,,,,,,,,,,,,
Nampa City Clerks Office,Clerks Office,(208) 468-5415,,,,,,,,,,,,,,App & Website
Nampa City Council ,Counsel Service,(208) 468-4413,,,,,,,,,,,,,,
Nampa Fire Adminstration,Administrative,(208) 468-5770,,,,,,,,,,,,,,
Nampa Fire Protection District,NARCAN,(208) 960-6092,,,,,,,,,,,,,,website - www.nampanarcan.com
Nampa Housing Authority,Low Income Housing,(208) 466-2601,,,,,,,,,,,,,,
Nampa Police Department,Non-Emergency,(208) 465-2257,,,,,,,,,,,,,,
Native Drummers,Native Drummers,(208) 202-9495,,,Chris Maddoz,,,,,,,,,,,
New Path Community Housing ,Community Housing,(208) 466-7869,,,,,,,,,,,,,,
Northpoint and Ashwood Recovery ,Treatment,(208) 647-4320,,,,,,,,,,,,,,
NOVA,,(800) 879-6682,,,,,,,,,,,,,,
One Love Agency,Reentry Services,(208) 447-6374,,,Heidi Barker,,,,,,,,,,,
Phoenix House,Sober Living Services,(208) 981-8200,,,,,,,,,,,,,,
Port Of Hope ,Detox /Treatment /IOP/ OP,(208) 463-4535,,,Melissa,,,,,,,,,,,
Region III Mental Health,Mental Health,(208) 459-0092,,,,,,,,,,3402 Franklin RD,Caldwell,ID,83605,
Renaisance Ranch Treatment Facility,Treatment,(208) 742-4229,,,Tofe,,,,,,,,,,,
Salvation Army-Home ARP Funding,Shelters/Housing Funding/Home ARP,(208) 467-6586,,,Lisa -Housing,,,Stephanie,,,,,,,,Lisa / Stephanie -Home ARP Funds
Singer,Nicolette Hoover,(208) 407-2488,,,,,,,,,,,,,,
Spindrift Sprinkler Services,Employment: Job Referrals,(986) 210-2590,,,Danny Norris,,,,,,,,,,,
St Vincent - Our Lady of Guadelupe,Food Pantry,(208) 442-4452,,,,,,,,,,2920 Railroad St,Nampa,ID,83687,Tu/Th 3-5pm
St. Vincent Administrative,Adminstrative,(208) 331-2208,,,,,,,,,,,,,,
St. Vincent Re-Entry Services,Director-St. Vincent,(208) 713-4458,,,Mark Renick,,,,,,,,,,,
Stinker Station Administration Offices,Gas Vouchers -Corporate Office,(208) 375-0942,,,Katherine,,,,,,,,,,,
The Center of Hope,Peer  Support & Recovery Coach,(208) 821-0394,,,Kyle W. Brown CPRC/CPSS,,kyleb@badgercrisis.com,208-821-0394,,,,530 E Anderson St,Idaho Falls,ID,83401,
The Nampa Alano Club,AA Club,(208) 466-5354,,,,,,,,,,,,,,Board Meeting
The Walker Center ,Rehab /Detox / Residential,(800) 227-4190,,,Outpatient,,,,,,,,,,,
Tracy Tibbs,St . Vincent,(204) 668-6898,,,,,,,,,,,,,,
Tru Living,Treatment - Selina,(986) 777-0393,,,Bobby/ Salina/Ian/ Fransisco,208-901-8192,,,,,,,,,,
Valley Regional Transit,Rides,(208) 345-7433,,,,,,,,,,,,,,
Valley Regional Transit,Transportation,(208) 345-7433,,,,,,,,,,,,,,
VFW Bikes -,Bikes,(307) 660-4228,,,Sherr Dodson,,,,,,,,,,,
VFW of Nampa,Amercian Legion,(208) 546-9580,,,,,,,,,,,,,,
Voc Rehab,Job Reentry Support,(208) 465-8414,,,Wendy,(208) 465-8414,,Heather,,,,,,,,Order of Selection
Warhawk Museum,Museum / Planes,(208) 859-6614,,,Becky,,,,,,,,,,,
Wellbriety,White Bison,(801) 540-6893,,,Justin,,,,,,,,,,,
Wellbriety of Nampa,Native American 12 Step,(208) 546-2951,,,Mark Olsen,,,,,,,,,,,
West Valley Medical Behavorial Health,Region 3 Mental Health Board,(208) 459-4641,,,Jennifer Gorder,,,,,,,,,,,
West Valley Medical Center,Medical Services,(208) 459-4641,,,,,,,,,,,,,,
WICAP,Food Bank / Utility Svcs,(208) 454-0675,,,Yolanda Caflow,(208) 250-9325,,Neal,,,,502 Main St. ,Caldwell,ID,83605,
Fisrt Nampa Christian,Church Services-Communication ,(208) 466-3549,,,Tony Johnson,,,,,,,,,,,
CATCH,"Housing, Nampa, Caldwell",(208) 336-5688,,,,,,,,,,,,,,
Azure Stone Mental Helth,"Mental Health, Meridian",,,infor@azurestonehealth.com,Kelly Baarley,,,,,,,,,,,
Eagle Creek  Ranch Recovery ,Treatment Program,,,,,,,,,,,,,,,
Bikes St Vincent De Paul,Bikes-FREE BIKE PROGRAM,(208) 614-0139,,,,,,,,,,,,,,
Computers-FREE,Computers-FREE COMPUTER,(925) 237-1415,,,Estelle,,,,,,,,,,,
Cornerstone  - Jake Wilson,MSO for IBDACC,(208) 630-4040,,JakeW@c-who.org,Jake Wilson LCSW,,,,,,,,,,,
Cornerstone Walk-In Clinic,"MAT Services-UA- Naltrexone, Bupnorphine-MOBILE",(208) 606-0396,,,Alice Knotts,(208) 606-0396,,Leo Carney,,,,,,,,
Cornerstone Epic Peerr Network-,Epic Peer Network- Samantha Self,,,,,,samantha@c-who.org,,,,,,,,,
Homes of Idaho,Donations / Support for the rally ,(208) 606-6087,,jon@nrgrealty.net,Jon,,,,,,,,,,,
Nampa Release Ranch Center,Work Release Program,(208) 872-7377,,ncrcmentors@yahoo.com,Curtis Barber,(208) 872-7377,,,,,,,,,,
Balloon Animals-Good Day Balloon ,Balloon Animals- ,(208) 949-0366,,,Jesse Snow,(208) 949-0366,,,,,,,,,,
DANCERS--- OYAMEL Folkoric Dancers-Brad,Hispanic Dancers-----Brad Owner,(208) 250-5347,,,Pepita,(208) 249-7375,,,,,,,,,,
Miss Idaho,Miss Idaho-Guest Speaker,(208) 912-9391,,,Sonia Ibarra,(208) 912-9391,,,,,,,,,,
Guardian Home,Clean and Sober Women & Children,(208) 648-3411,,myguardianhome@outlook.com,Kim ,,,,,,,,,,,
Charlie Health,Mental Health Treatment-Admissions 866-491-5196,(208) 585-7011,,sabrina.silver@charliehealth.com,Sabrina Silver,(208) 585-7011,,,,,,,,,,
Advocates Against Family Violence CRISIS 208-459-4779,Outreach Advocate,(208) 459-6330,122,jessica@aafvhope.org,Jessica Hall,(208) 459-6330,,,,,,,,,,
Idaho Mobile Response-Community Bridges,Idaho Mobile Response,,,javier.torrez@cbridges.com,"Javier Torrez LCSW, BHP",(623) 694-7509,justina.sgorbissa@cbridges.com,Justina Sgorbissa ,,,,,,,,
Zeyers Funeral Home,Rally Supporters,(208) 467-7300,,director@zeyersfuneral.com,Clarixa,(208) 467-7300,,,,,,,,,,
LAKEVIEW PARK ,Parks and Rec,(208) 468-5858,,vanderpoolj@cityofnampa.us,Jennifer Ayala-Vanderpool,(208) 468-5858,,,,,,,,,,
